grammar,grid_id,feature_a,direction_a,feature_b,direction_b,n_registered_coords,n_observed_safe,n_productive_safe,coordinate_safe_area_ratio,coordinate_productive_area_ratio,n_grids,note
G1_atom,S::abs_log_h::high_tail,abs_log_h,high_tail,,,87,0,0,0.0,0.0,,
G1_atom,S::abs_log_h::low_tail,abs_log_h,low_tail,,,87,0,0,0.0,0.0,,
G1_atom,S::abs_ratio_m1::high_tail,abs_ratio_m1,high_tail,,,87,0,0,0.0,0.0,,
G1_atom,S::abs_ratio_m1::low_tail,abs_ratio_m1,low_tail,,,87,0,0,0.0,0.0,,
G1_atom,S::dist_h::high_tail,dist_h,high_tail,,,87,0,0,0.0,0.0,,
G1_atom,S::dist_h::low_tail,dist_h,low_tail,,,87,0,0,0.0,0.0,,
G1_atom,S::resid_mean::high_tail,resid_mean,high_tail,,,87,1,1,0.011494252873563218,0.011494252873563218,,
G1_atom,S::resid_mean::low_tail,resid_mean,low_tail,,,87,0,0,0.0,0.0,,
G1_atom,S::score_m_bridge::high_tail,score_m_bridge,high_tail,,,87,0,0,0.0,0.0,,
G1_atom,S::score_m_bridge::low_tail,score_m_bridge,low_tail,,,87,0,0,0.0,0.0,,
G2_and,P::abs_log_h::high_tail__abs_ratio_m1::high_tail,abs_log_h,high_tail,abs_ratio_m1,high_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_log_h::high_tail__abs_ratio_m1::low_tail,abs_log_h,high_tail,abs_ratio_m1,low_tail,441,1,1,0.0022675736961451248,0.0022675736961451248,,
G2_and,P::abs_log_h::high_tail__dist_h::high_tail,abs_log_h,high_tail,dist_h,high_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_log_h::high_tail__dist_h::low_tail,abs_log_h,high_tail,dist_h,low_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_log_h::high_tail__resid_mean::high_tail,abs_log_h,high_tail,resid_mean,high_tail,441,18,18,0.04081632653061224,0.04081632653061224,,
G2_and,P::abs_log_h::high_tail__resid_mean::low_tail,abs_log_h,high_tail,resid_mean,low_tail,441,6,6,0.013605442176870748,0.013605442176870748,,
G2_and,P::abs_log_h::high_tail__score_m_bridge::high_tail,abs_log_h,high_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_log_h::high_tail__score_m_bridge::low_tail,abs_log_h,high_tail,score_m_bridge,low_tail,441,12,12,0.027210884353741496,0.027210884353741496,,
G2_and,P::abs_log_h::low_tail__abs_ratio_m1::high_tail,abs_log_h,low_tail,abs_ratio_m1,high_tail,441,3,3,0.006802721088435374,0.006802721088435374,,
G2_and,P::abs_log_h::low_tail__abs_ratio_m1::low_tail,abs_log_h,low_tail,abs_ratio_m1,low_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_log_h::low_tail__dist_h::high_tail,abs_log_h,low_tail,dist_h,high_tail,441,1,1,0.0022675736961451248,0.0022675736961451248,,
G2_and,P::abs_log_h::low_tail__dist_h::low_tail,abs_log_h,low_tail,dist_h,low_tail,441,1,1,0.0022675736961451248,0.0022675736961451248,,
G2_and,P::abs_log_h::low_tail__resid_mean::high_tail,abs_log_h,low_tail,resid_mean,high_tail,441,3,3,0.006802721088435374,0.006802721088435374,,
G2_and,P::abs_log_h::low_tail__resid_mean::low_tail,abs_log_h,low_tail,resid_mean,low_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_log_h::low_tail__score_m_bridge::high_tail,abs_log_h,low_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
