grammar,grid_id,mask_sha256,n_coords,mask_n_neg,mask_n_gt,n_sequences_with_neg,min_positive_sequence,min_positive_sequence_n_neg,productive_sequences_json,note
G1_atom,S::resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,1,0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::high_tail__abs_ratio_m1::low_tail,c4d4ff1a0edd8678d8bfaea8d07f32a79534e2be6837221359a8adf840a97f2c,1,1,0,1,MOT17-13-SDP,1,"{""MOT17-13-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,18,1,0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::high_tail__resid_mean::low_tail,2dc4b8690f5213d4d58ee9f2faf82a5643ebffe8f6ec2eacb01836cd430ab83b,5,1,0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::high_tail__resid_mean::low_tail,b923775d4f4ffaef6a373317b715ecd7caa7c8b119c8d666e18eb9c350e15019,1,2,0,2,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1, ""MOT17-11-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::high_tail__score_m_bridge::low_tail,1ee9f8e74181eb4999d6d7434182eae6f88cdfdcd75a857ec101383ead3dc925,1,3,0,3,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1, ""MOT17-09-SDP"": 1, ""MOT17-11-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::high_tail__score_m_bridge::low_tail,aa1cddec88a28a3417f30d472f7ab06d736bfbf6bee412847367e3cf4e93552d,2,4,0,4,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1, ""MOT17-05-SDP"": 1, ""MOT17-09-SDP"": 1, ""MOT17-11-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::high_tail__score_m_bridge::low_tail,ee84f8e15ac6e86512d974aab73f64a51ea46b44430ca58ab315f95d5128cd3c,2,2,0,2,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1, ""MOT17-09-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::high_tail__score_m_bridge::low_tail,f8e275e6dbc37375a609fd3100486e9fcf5da8fa9e17b9e54da5b54ae58b58da,7,1,0,1,MOT17-09-SDP,1,"{""MOT17-09-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::low_tail__abs_ratio_m1::high_tail,40e749384e73d603c41c1370fc839844583ac0308271ffadd3bea47eee46a3a4,1,1,0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::low_tail__abs_ratio_m1::high_tail,ced0b7c1a71496983d0a09dbd31b8d5010814d5c22198b9a4deb1ffd54315bdd,2,1,0,1,MOT17-09-SDP,1,"{""MOT17-09-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::low_tail__dist_h::high_tail,aa1be21430bf72a6336ce88db78c8708b56136ed6939d3e077fa7bfd6ab70e12,1,1,0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::low_tail__dist_h::low_tail,51105b444ba35b40a7852f1900de5682e811aa68e11b7e07243d709c170ef838,1,1,0,1,MOT17-05-SDP,1,"{""MOT17-05-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::low_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,3,1,0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_log_h::low_tail__score_m_bridge::low_tail,51105b444ba35b40a7852f1900de5682e811aa68e11b7e07243d709c170ef838,2,1,0,1,MOT17-05-SDP,1,"{""MOT17-05-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
G2_and,P::abs_ratio_m1::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,18,1,0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}",mask_n_neg is per prediction mask unit (not multiplied by coordinate plateau width)
