path	current_label	usage	function
scripts/benchmarks/benchmark_16_streams.py	diagnostic	-	Stress multi-stream dispatcher timing (16 concurrent streams).
scripts/benchmarks/benchmark_association.py	diagnostic	cli	Benchmark GPU association/auction stage latency and throughput.
scripts/benchmarks/bottleneck_annealer.py	diagnostic	-	End-to-end bottleneck annealer: find pipeline stage time sinks.
scripts/benchmarks/dataloader_bench.py	diagnostic	cli	DataLoader throughput benchmark: preload_to_ram vs num_workers.
scripts/benchmarks/latency_e2e_report.py	diagnostic	-	Summarize end-to-end latency report from pipeline runs.
scripts/benchmarks/mamba_crossscan_breakdown.py	diagnostic	-	Decompose _cross_scan_mamba: flip/stack prep vs MambaBlock(4B) vs unflip/mean.
scripts/benchmarks/mamba_detect_breakdown.py	diagnostic	-	Attribute the eval `detect` stage (mamba_optimal/SDP ~7.45ms) into sub-components.
scripts/benchmarks/mamba_flip_alloc.py	diagnostic	-	Test the hypothesis: cross-scan flip cost = allocating new tensors, not the
scripts/benchmarks/mamba_head_breakdown.py	diagnostic	-	Sub-attribute the mamba_head (~3ms of detect) into its module groups.
scripts/benchmarks/mamba_head_kernelcount.py	diagnostic	-	Count CUDA kernel launches in one mamba_head.forward, to locate the
scripts/benchmarks/mamba_train_prof.py	diagnostic	cli	Mamba head training latency profiler.
scripts/benchmarks/train_bottleneck_prof.py	diagnostic	cli	Profile training-step bottlenecks via conditioned-train proxy path.
scripts/benchmarks/workbench_synthetic.py	diagnostic	cli	Synthetic workbench load generator for pipeline microbenches.
scripts/download_crowdhuman_hf.py	diagnostic	cli	Download CrowdHuman dataset from Hugging Face.
scripts/download_external_datasets.py	diagnostic	cli	Download CrowdHuman and CityPersons datasets for FP classifier training.
scripts/download_kitti_tracking.py	diagnostic	cli	Download the KITTI Tracking Dataset.
scripts/download_market1501.py	diagnostic	cli	Download and setup Market-1501 dataset from Hugging Face.
scripts/download_motsynth.py	diagnostic	cli	Download and setup MOTSynth dataset (Mini/Full).
scripts/eval/_oao_feature_diff.py	experiment	-	OAO gain attribution: characterise boxes that differ between baseline and B.
scripts/eval/ablation_experiments.py	experiment	-	Historical multi-ablation experiment harness over MOT metrics tables.
scripts/eval/analyze_05_cause.py	experiment	cli	Attribution: is MOT17-05's occluder-mechanism regression from inaccurate boxes
scripts/eval/analyze_confirm_prev_confirmed.py	experiment	cli	Do cst040's new confirmations sit on a PREVIOUS-frame confirmed track?
scripts/eval/analyze_confirm_proximity.py	experiment	cli	Does nearest-box distance separate the TP from the FP that cst040 newly confirms?
scripts/eval/analyze_fpn_dims.py	experiment	cli	Analyze FPN feature dimension importance for ReID discrimination.
